time,value
1.166,0.88193995
1.16605,0.84456968
1.1661,0.86210918
1.16615,0.87926579
1.1662,0.85170901
1.16625,0.84974504
1.1663,0.89484757
1.16635,0.88322455
1.1664,0.87251556
1.16645,0.8985284
1.1665,0.88633722
1.16655,0.85749578
1.1666,0.87075543
1.16665,0.89101237
1.1667,0.90182018
1.16675,0.90054792
1.1668,0.91804421
1.16685,0.91196096
1.1669,0.90524161
1.16695,0.9085148
1.167,0.90035647
1.16705,0.89213634
1.1671,0.89432263
1.16715,0.9007085
1.1672,0.90534657
1.16725,0.90165341
1.1673,0.89752793
1.16735,0.89375442
1.1674,0.886998
1.16745,0.86911267
1.1675,0.86219567
1.16755,0.872145
1.1676,0.86784041
1.16765,0.86633348
1.1677,0.88255137
1.16775,0.89713264
1.1678,0.89350742
1.16785,0.8662532
1.1679,0.87856174
1.16795,0.87959313
1.168,0.85463017
1.16805,0.86501187
1.1681,0.88412005
1.16815,0.87142861
1.1682,0.88202643
1.16825,0.91264647
1.1683,0.91734016
1.16835,0.90167195
1.1684,0.91819245
1.16845,0.91275764
1.1685,0.87544912
1.16855,0.87246001
1.1686,0.89286512
1.16865,0.88326162
1.1687,0.87775892
1.16875,0.91168308
1.1688,0.92943871
1.16885,0.89742291
1.1689,0.88714623
1.16895,0.88857287
1.169,0.86749458
1.16905,0.84968948
1.1691,0.86789602
1.16915,0.88651013
1.1692,0.89485377
1.16925,0.89713264
1.1693,0.90056646
1.16935,0.88361979
1.1694,0.87729567
1.16945,0.87103951
1.1695,0.87095308
1.16955,0.86645085
1.1696,0.85314798
1.16965,0.86717343
1.1697,0.90664351
1.16975,0.9064768
1.1698,0.9060939
1.16985,0.91414106
1.1699,0.91524655
1.16995,0.89707708
1.17,0.89697826
1.17005,0.8999365
1.1701,0.88484263
1.17015,0.88741797
1.1702,0.92206472
1.17025,0.92316401
1.1703,0.91486365
1.17035,0.90768725
1.1704,0.91648787
1.17045,0.91652495
1.1705,0.8917473
1.17055,0.88818377
1.1706,0.87200296
1.17065,0.87186712
1.1707,0.89432263
1.17075,0.90768105
1.1708,0.90354943
1.17085,0.88767737
1.1709,0.89758968
1.17095,0.90052325
1.171,0.87763536
1.17105,0.87100863
1.1711,0.8683036
1.17115,0.87346047
1.1712,0.87276876
1.17125,0.88140267
1.1713,0.89907187
1.17135,0.89996737
1.1714,0.89192641
1.17145,0.8991645
1.1715,0.90234512
1.17155,0.88818377
1.1716,0.86518478
1.17165,0.89056766
1.1717,0.89456964
1.17175,0.88004398
1.1718,0.89476728
1.17185,0.91574061
1.1719,0.90985501
1.17195,0.90228337
1.172,0.8977688
1.17205,0.89729941
1.1721,0.8845709
1.17215,0.88191527
1.1722,0.88502789
1.17225,0.89760202
1.1723,0.90721786
1.17235,0.90733522
1.1724,0.90287626
1.17245,0.8949526
1.1725,0.88005632
1.17255,0.87222528
1.1726,0.85975617
1.17265,0.8621524
1.1727,0.86989081
1.17275,0.88077271
1.1728,0.88896811
1.17285,0.90331471
1.1729,0.91062695
1.17295,0.89400148
1.173,0.85596418
1.17305,0.86137426
1.1731,0.87389898
1.17315,0.86121368
1.1732,0.85566157
1.17325,0.87760448
1.1733,0.90110993
1.17335,0.90423495
1.1734,0.90435225
1.17345,0.90331471
1.1735,0.8880294
1.17355,0.875727
1.1736,0.86860007
1.17365,0.8756097
1.1737,0.88114947
1.17375,0.88706595
1.1738,0.89074677
1.17385,0.90295655
1.1739,0.91571593
1.17395,0.90834188
1.174,0.88983893
1.17405,0.89339626
1.1741,0.88907927
1.17415,0.87720305
1.1742,0.87588757
1.17425,0.90015268
1.1743,0.92047751
1.17435,0.91011435
1.1744,0.89062947
1.17445,0.89114821
1.1745,0.89055532
1.17455,0.87757361
1.1746,0.871373
1.17465,0.88698566
1.1747,0.89273542
1.17475,0.90547013
1.1748,0.91848272
1.17485,0.91795158
1.1749,0.91276383
1.17495,0.91101605
1.175,0.89054918
1.17505,0.88263166
1.1751,0.8871339
1.17515,0.90213513
1.1752,0.91061461
1.17525,0.92059487
1.1753,0.91587031
1.17535,0.90902126
1.1754,0.90526015
1.17545,0.89972651
1.1755,0.89156818
1.17555,0.90229571
1.1756,0.89368033
1.17565,0.87911761
1.1757,0.89455116
1.17575,0.91240561
1.1758,0.90803313
1.17585,0.89803433
1.1759,0.88421267
1.17595,0.87149036
1.176,0.86640763
1.17605,0.87504148
1.1761,0.8864916
1.17615,0.89838016
1.1762,0.88148296
1.17625,0.87515265
1.1763,0.88763416
1.17635,0.888542
1.1764,0.88075417
1.17645,0.88223022
1.1765,0.88313812
1.17655,0.87606055
1.1766,0.87577641
1.17665,0.89389032
1.1767,0.90781695
1.17675,0.90682882
1.1768,0.89074677
1.17685,0.88497853
1.1769,0.90161633
1.17695,0.90139401
1.177,0.89170402
1.17705,0.8980158
1.1771,0.90370381
1.17715,0.89245749
1.1772,0.89295161
1.17725,0.90318501
1.1773,0.90003532
1.17735,0.88823938
1.1774,0.88520086
1.17745,0.89990562
1.1775,0.89408177
1.17755,0.87772799
1.1776,0.88487971
1.17765,0.8930257
1.1777,0.88310105
1.17775,0.87460917
1.1778,0.87264526
1.17785,0.87538737
1.1779,0.87852472
1.17795,0.88806647
1.178,0.8861087
1.17805,0.87713516
1.1781,0.88050097
1.17815,0.88522553
1.1782,0.88881373
1.17825,0.8832987
1.1783,0.88775146
1.17835,0.90297502
1.1784,0.89923865
1.17845,0.8972562
1.1785,0.89996123
1.17855,0.89624333
1.1786,0.89589131
1.17865,0.89881867
1.1787,0.90094936
1.17875,0.89849752
1.1788,0.90188807
1.17885,0.91412252
1.1789,0.91717958
1.17895,0.91024405
1.179,0.88630635
1.17905,0.86862475
1.1791,0.88938808
1.17915,0.88817143
1.1792,0.87258351
1.17925,0.88747358
1.1793,0.90449435
1.17935,0.88361365
1.1794,0.87369514
1.17945,0.88766503
1.1795,0.88980806
1.17955,0.87896317
1.1796,0.88758475
1.17965,0.889561
1.1797,0.8763755
1.17975,0.88300842
1.1798,0.89381003
1.17985,0.89376062
1.1799,0.88551581
1.17995,0.87943256
1.18,0.89065415
1.18005,0.9013446
1.1801,0.90143108
1.18015,0.90002912
1.1802,0.90229571
1.18025,0.89978832
1.1803,0.89011067
1.18035,0.89227223
1.1804,0.89534783
1.18045,0.89715117
1.1805,0.90277743
1.18055,0.90113461
1.1806,0.89271075
1.18065,0.89112967
1.1807,0.87874085
1.18075,0.88472527
1.1808,0.88295281
1.18085,0.88038981
1.1809,0.88660896
1.18095,0.90368527
1.181,0.89002419
1.18105,0.87890762
1.1811,0.8943103
1.18115,0.892124
1.1812,0.86364698
1.18125,0.8880356
1.1813,0.90604448
1.18135,0.89330977
1.1814,0.89269221
1.18145,0.90632856
1.1815,0.90118402
1.18155,0.88600373
1.1816,0.88639277
1.18165,0.89381623
1.1817,0.89040095
1.18175,0.8861149
1.1818,0.89243281
1.18185,0.90561831
1.1819,0.90043676
1.18195,0.90020823
1.182,0.90038115
1.18205,0.88729447
1.1821,0.87497973
1.18215,0.87782681
1.1822,0.88531816
1.18225,0.89293921
1.1823,0.8904627
1.18235,0.8926366
1.1824,0.88870877
1.18245,0.87811708
1.1825,0.87826532
1.18255,0.87888908
1.1826,0.87486237
1.18265,0.87733895
1.1827,0.88762176
1.18275,0.89222902
1.1828,0.88565171
1.18285,0.89411265
1.1829,0.8968733
1.18295,0.88998097
1.183,0.88819617
1.18305,0.88839996
1.1831,0.89397061
1.18315,0.89778727
1.1832,0.89932507
1.18325,0.90132606
1.1833,0.89598393
1.18335,0.89508843
1.1834,0.89561337
1.18345,0.89903486
1.1835,0.91035521
1.18355,0.90962648
1.1836,0.9135235
1.18365,0.90984261
1.1837,0.90112227
1.18375,0.89463758
1.1838,0.89019096
1.18385,0.90097404
1.1839,0.89912748
1.18395,0.8986519
1.184,0.9087742
1.18405,0.90344441
1.1841,0.90125817
1.18415,0.9012149
1.1842,0.88954866
1.18425,0.87459064
1.1843,0.87606668
1.18435,0.89912748
1.1844,0.89503288
1.18445,0.88763416
1.1845,0.89560723
1.18455,0.89342093
1.1846,0.8832987
1.18465,0.87903112
1.1847,0.87996984
1.18475,0.88095182
1.1848,0.88084686
1.18485,0.89439058
1.1849,0.89293921
1.18495,0.88467586
1.185,0.87656075
1.18505,0.88050717
1.1851,0.88437945
1.18515,0.88177937
1.1852,0.8771413
1.18525,0.87391132
1.1853,0.8875168
1.18535,0.90235126
1.1854,0.88736242
1.18545,0.8768943
1.1855,0.88835675
1.18555,0.87782681
1.1856,0.86885941
1.18565,0.8834222
1.1857,0.89338392
